data point ID,annotator ID,label,original_text
830,adjudicated,3,"Probably a lot of you know the story of the two salesmen who went down to Africa in the 1900s. They were sent down to find if there was any opportunity for selling shoes, and they wrote telegrams back to Manchester. And one of them wrote, ""Situation hopeless. Stop. They don't wear shoes."" And the other one wrote, ""Glorious opportunity. They don't have any shoes yet.""(Laughter)Now, there's a similar situation in the classical music world, because there are some people who think that classical music is dying. And there are some of us who think you ain't seen nothing yet."
2997,adjudicated,2,"Our lives depend on a world we can't see. Think about your week so far. Have you watched TV, used GPS, checked the weather or even ate a meal? These many things that enable our daily lives rely either directly or indirectly on satellites. And while we often take for granted the services that satellites provide us, the satellites themselves deserve our attention as they are leaving a lasting mark on the space they occupy.People around the world rely on satellite infrastructure every day for information, entertainment and to communicate. There's agricultural and environmental monitoring, Internet connectivity, navigation. Satellites even"
1767,adjudicated,2,"This story is about taking imagination seriously. Fourteen years ago, I first encountered this ordinary material, fishnet, used the same way for centuries. Today, I'm using it to create permanent, billowing, voluptuous forms the scale of hard-edged buildings in cities around the world. I was an unlikely person to be doing this. I never studied sculpture, engineering or architecture. In fact, after college I applied to seven art schools and was rejected by all seven.I went off on my own to become an artist, and I painted for 10 years, when I was offered a Fulbright to India. Promising to"
1215,adjudicated,1,"There's an old saying, ""Just because you can't see something, doesn't mean it's not there."" My work is — it's a reflection of myself. What I wanted to do is to show the world that the little things can be the biggest things. We all seem to think that, you know, if we look down on the ground, there's nothing there. And we use the word ""nothing."" Nothing doesn't exist, because there is always something. My mother told me that, when I was a child, that I should always respect the little things.What made me do this work? I shall"
1600,adjudicated,1,"I grew up in New York City, between Harlem and the Bronx. Growing up as a boy, we were taught that men had to be tough, had to be strong, had to be courageous, dominating — no pain, no emotions, with the exception of anger — and definitely no fear; that men are in charge, which means women are not; that men lead, and you should just follow and do what we say; that men are superior; women are inferior; that men are strong; women are weak; that women are of less value, property of men, and objects, particularly sexual"
2652,adjudicated,1,"The power of yet.I heard about a high school in Chicago where students had to pass a certain number of courses to graduate, and if they didn't pass a course, they got the grade ""Not Yet."" And I thought that was fantastic, because if you get a failing grade, you think, I'm nothing, I'm nowhere. But if you get the grade ""Not Yet"", you understand that you're on a learning curve. It gives you a path into the future.""Not Yet"" also gave me insight into a critical event early in my career, a real turning point. I wanted to see"
1202,adjudicated,1,"I normally teach courses on how to rebuild states after war. But today I've got a personal story to share with you. This is a picture of my family, my four siblings — my mom and I — taken in 1977. And we're actually Cambodians. And this picture is taken in Vietnam. So how did a Cambodian family end up in Vietnam in 1977? Well to explain that, I've got a short video clip to explain the Khmer Rouge regime during 1975 and 1979.Video: April 17th, 1975. The communist Khmer Rouge enters Phnom Penh to liberate their people from the"
1114,adjudicated,1,"About four years ago, the New Yorker published an article about a cache of dodo bones that was found in a pit on the island of Mauritius. Now, the island of Mauritius is a small island off the east coast of Madagascar in the Indian Ocean, and it is the place where the dodo bird was discovered and extinguished, all within about 150 years. Everyone was very excited about this archaeological find, because it meant that they might finally be able to assemble a single dodo skeleton.See, while museums all over the world have dodo skeletons in their collection, nobody"
2659,adjudicated,2,"Let's go south. All of you are actually going south. This is the direction of south, this way, and if you go 8,000 kilometers out of the back of this room, you will come to as far south as you can go anywhere on Earth, the Pole itself.Now, I am not an explorer. I'm not an environmentalist. I'm actually just a survivor, and these photographs that I'm showing you here are dangerous. They are the ice melt of the South and North Poles. And ladies and gentlemen, we need to listen to what these places are telling us, and if"
606,adjudicated,1,"I’d like to dedicate this one to all the women in South Africa — those women who refused to dwindle in the midst of apartheid. And, of course, I’m dedicating it also to my grandmother, whom I think really played quite a lot of important roles, especially for me when I was an activist, and being harassed by the police.You will recall that in 1976, June 16, the students of South Africa boycotted the language of Afrikaans as the medium of the oppressor, as they were sort of like really told that they must do everything in Afrikaans — biology,"
2229,adjudicated,3,"So, why does good sex so often fade, even for couples who continue to love each other as much as ever? And why does good intimacy not guarantee good sex, contrary to popular belief? Or, the next question would be, can we want what we already have? That's the million-dollar question, right? And why is the forbidden so erotic? What is it about transgression that makes desire so potent? And why does sex make babies, and babies spell erotic disaster in couples?(Laughter)It's kind of the fatal erotic blow, isn't it? And when you love, how does it feel? And when"
1123,adjudicated,1,"When most people think about the beginnings of AIDS, they're gonna think back to the 1980s. And certainly, this was the decade in which we discovered AIDS and the virus that causes it, HIV. But in fact this virus crossed over into humans many decades before, from chimpanzees, where the virus originated, into humans who hunt these apes.This photo was taken before the Great Depression in Brazzaville, Congo. At this time, there were thousands of individuals, we think, that were infected with HIV.So I have a couple of really important questions for you. If this virus was in thousands of"
360,adjudicated,1,"You know, one of the intense pleasures of travel and one of the delights of ethnographic research is the opportunity to live amongst those who have not forgotten the old ways, who still feel their past in the wind, touch it in stones polished by rain, taste it in the bitter leaves of plants. Just to know that Jaguar shamans still journey beyond the Milky Way, or the myths of the Inuit elders still resonate with meaning, or that in the Himalaya, the Buddhists still pursue the breath of the Dharma, is to really remember the central revelation of anthropology,"
2345,adjudicated,3,"Where do you come from? It's such a simple question, but these days, of course, simple questions bring ever more complicated answers. People are always asking me where I come from, and they're expecting me to say India, and they're absolutely right insofar as 100 percent of my blood and ancestry does come from India. Except, I've never lived one day of my life there. I can't speak even one word of its more than 22,000 dialects. So I don't think I've really earned the right to call myself an Indian. And if ""Where do you come from?"" means ""Where"
2825,adjudicated,3,"So when I was a kid ... this was my team.(Laughter)I stunk at sports. I didn't like to play them, I didn't like to watch them. So this is what I did. I went fishing. And for all of my growing up I fished on the shores of Connecticut, and these are the creatures that I saw on a regular basis. But after I grew up and went to college, and I came home in the early 90's, this is what I found. My team had shrunk. It was like literally having your roster devastated. And as I sort of"
2778,adjudicated,3,"Today, I want to talk to you about dreams.I have been a lucid dreamer my whole life, and it's cooler than in the movies. (Laughter) Beyond flying, breathing fire, and making hot men spontaneously appear ... (Laughter) I can do things like read and write music. Fun fact is that I wrote my personal statement to college in a dream. And I did accepted. So, yeah.I am a very visual thinker. I think in pictures, not words. To me, words are more like instincts and language.There are many people like me; Nikola Tesla, for example, who could visualize, design, test,"
2612,adjudicated,3,"This is my niece, Stella. She's just turned one and started to walk. And she's walking in that really cool way that one-year-olds do, a kind of teetering, my-body's-moving- too-fast-for-my-legs kind of way. It is absolutely gorgeous. And one of her favorite things to do at the moment is to stare at herself in the mirror. She absolutely loves her reflection. She giggles and squeals, and gives herself these big, wet kisses. It is beautiful. Apparently, all of her friends do this and my mom tells me that I used to do this, and it got me thinking: When did"
1544,adjudicated,2,"My story is a little bit about war. It's about disillusionment. It's about death. And it's about rediscovering idealism in all of that wreckage. And perhaps also, there's a lesson about how to deal with our screwed-up, fragmenting and dangerous world of the 21st century. I don't believe in straightforward narratives. I don't believe in a life or history written as decision ""A"" led to consequence ""B"" led to consequence ""C"" — these neat narratives that we're presented with, and that perhaps we encourage in each other. I believe in randomness, and one of the reasons I believe that is"
1976,adjudicated,3,"Every year in the United States alone, 2,077,000 couples make a legal and spiritual decision to spend the rest of their lives together —(Laughter)And not to have sex with anyone else. Ever. He buys a ring, she buys a dress. They go shopping for all sorts of things. She takes him to Arthur Murray for ballroom-dancing lessons. And the big day comes. And they'll stand before God and family and some guy her dad once did business with, and they'll vow that nothing — not abject poverty, not life-threatening illness, not complete and utter misery — will ever put the"
2657,adjudicated,1,"When the Portuguese arrived in Latin America about 500 years ago, they obviously found this amazing tropical forest. And among all this biodiversity that they had never seen before, they found one species that caught their attention very quickly. This species, when you cut the bark, you find a very dark red resin that was very good to paint and dye fabric to make clothes. The indigenous people called this species pau brasil, and that's the reason why this land became ""land of Brasil,"" and later on, Brazil. That's the only country in the world that has the name of"
2714,adjudicated,3,"I dedicated the past two years to understanding how people achieve their dreams. When we think about the dreams we have, and the dent we want to leave in the universe, it is striking to see how big of an overlap there is between the dreams that we have, and projects that never happen.(Laughter)So I'm here to talk to you today about five ways how not to follow your dreams.One: Believe in overnight success. You know the story, right? The tech guy built a mobile app and sold it very fast for a lot of money. You know, the story"
364,adjudicated,1,"A fact came out of MIT, couple of years ago. Ken Hale, who's a linguist, said that of the 6,000 languages spoken on Earth right now, 3,000 aren't spoken by the children. So that in one generation, we're going to halve our cultural diversity. He went on to say that every two weeks, an elder goes to the grave carrying the last spoken word of that culture. So an entire philosophy, a body of knowledge about the natural world that had been empirically gleaned over centuries, goes away. And this happens every two weeks.So for the last 20 years, since"
2584,adjudicated,1,"Dr. Martin Luther King, Jr., in a 1968 speech where he reflects upon the Civil Rights Movement, states, ""In the end, we will remember not the words of our enemies but the silence of our friends.""As a teacher, I've internalized this message. Every day, all around us, we see the consequences of silence manifest themselves in the form of discrimination, violence, genocide and war. In the classroom, I challenge my students to explore the silences in their own lives through poetry. We work together to fill those spaces, to recognize them, to name them, to understand that they don't have"
2286,adjudicated,2,"Let's face it: Driving is dangerous. It's one of the things that we don't like to think about, but the fact that religious icons and good luck charms show up on dashboards around the world betrays the fact that we know this to be true. Car accidents are the leading cause of death in people ages 16 to 19 in the United States — leading cause of death — and 75 percent of these accidents have nothing to do with drugs or alcohol.So what happens? No one can say for sure, but I remember my first accident. I was a"
3062,adjudicated,2,"The school of architecture that I studied at some 30 years ago happened to be across the street from the wonderful art gallery designed by the great architect Louis Kahn. I love the building, and I used to visit it quite often. One day, I saw the security guard run his hand across the concrete wall. And it was the way he did it, the expression on his face — something touched me. I could see that the security guard was moved by the building and that architecture has that capacity to move you. I could see it, and I"
950,adjudicated,3,"I'm a, or was, or kind of am a toy designer. And before I was a toy designer, oh, I was a mime, a street mime, actually. And then I was an entertainer, I guess. And before that, I was a silversmith, and before that, I was — I was out of the house at about 15 and a half, and I never wound up going into college. I didn't really — I didn't see the point at the time. I do now, after learning about all the quantum stuff. Laughter) It's really cool.Anyway, I wanted to show you a"
656,adjudicated,3,"I'd like to do pretty much what I did the first time, which is to choose a light-hearted theme. Last time, I talked about death and dying. This time, I'm going to talk about mental illness. But it has to be technological, so I'll talk about electroshock therapy. (Laughter)You know, ever since man had any notion that some of his other people, his colleagues, could be different, could be strange, could be severely depressed or what we now recognize as schizophrenia, he was certain that this kind of illness had to come from evil spirits getting into the body. So,"
2617,adjudicated,1,"So imagine that a plane is about to crash with 250 children and babies, and if you knew how to stop that, would you?Now imagine that 60 planes full of babies under five crash every single day. That's the number of kids that never make it to their fifth birthday. 6.6 million children never make it to their fifth birthday.Most of these deaths are preventable, and that doesn't just make me sad, it makes me angry, and it makes me determined. Diarrhea and pneumonia are among the top two killers of children under five, and what we can do to"
2972,adjudicated,1,"(Music)Rainn Wilson: It takes its toll, being alone. I'm a little bit lost, and it's finally time to make a real connection. Who am I?(Drums)I'm a single white male, 45 years of age. I love animals. Gainfully employed. I'm a people person. I keep fit. Who am I looking for? I'm looking for my idea mate. Are you that idea that matches with who I really am? Video) Ron Finley: How would you feel if you had no access to healthy food? Gardening is the most therapeutic and defiant act you can do.RW: Wow, we sure are getting our fingers"
1550,adjudicated,1,"I want you to take a trip with me. Picture yourself driving down a small road in Africa, and as you drive along, you look off to the side, and this is what you see: you see a field of graves. And you stop, and you get out of your car and you take a picture. And you go into the town, and you inquire, ""What's going on here?"" and people are initially reluctant to tell you. And then someone says, ""These are the recent AIDS deaths in our community."" HIV isn't like other medical conditions; it's stigmatizing. People are"
1541,adjudicated,2,"We live on a human-dominated planet, putting unprecedented pressure on the systems on Earth. This is bad news, but perhaps surprising to you, it's also part of the good news. We're the first generation — thanks to science — to be informed that we may be undermining the stability and the ability of planet Earth to support human development as we know it. It's also good news, because the planetary risks we're facing are so large, that business as usual is not an option. In fact, we're in a phase where transformative change is necessary, which opens the window for"
1432,adjudicated,2,"In my industry, we believe that images can change the world. Okay, we're naive, we're bright-eyed and bushy-tailed. The truth is that we know that the images themselves don't change the world, but we're also aware that, since the beginning of photography, images have provoked reactions in people, and those reactions have caused change to happen.So let's begin with a group of images. I'd be extremely surprised if you didn't recognize many or most of them. They're best described as iconic: so iconic, perhaps, they're cliches. In fact, they're so well-known that you might even recognize them in a slightly"
2263,adjudicated,1,"I'm going to talk about the strategizing brain. We're going to use an unusual combination of tools from game theory and neuroscience to understand how people interact socially when value is on the line.So game theory is a branch of, originally, applied mathematics, used mostly in economics and political science, a little bit in biology, that gives us a mathematical taxonomy of social life and it predicts what people are likely to do and believe others will do in cases where everyone's actions affect everyone else. That's a lot of things: competition, cooperation, bargaining, games like hide-and-seek, and poker.Here's a"
1877,adjudicated,1,"I'm a filmmaker. For the last 8 years, I have dedicated my life to documenting the work of Israelis and Palestinians who are trying to end the conflict using peaceful means. When I travel with my work across Europe and the United States, one question always comes up: Where is the Palestinian Gandhi? Why aren't Palestinians using nonviolent resistance?The challenge I face when I hear this question is that often I have just returned from the Middle East where I spent my time filming dozens of Palestinians who are using nonviolence to defend their lands and water resources from Israeli"
2739,adjudicated,2,"When I was growing up, I really liked playing hide-and-seek a lot. One time, though, I thought climbing a tree would lead to a great hiding spot, but I fell and broke my arm. I actually started first grade with a big cast all over my torso. It was taken off six weeks later, but even then, I couldn't extend my elbow, and I had to do physical therapy to flex and extend it, 100 times per day, seven days per week. I barely did it, because I found it boring and painful, and as a result, it took me"
2260,adjudicated,1,"So let me ask for a show of hands. How many people here are over the age of 48? Well, there do seem to be a few.Well, congratulations, because if you look at this particular slide of U.S. life expectancy, you are now in excess of the average life span of somebody who was born in 1900.But look what happened in the course of that century. If you follow that curve, you'll see that it starts way down there. There's that dip there for the 1918 flu. And here we are at 2010, average life expectancy of a child born"
2753,adjudicated,2,"I am failing as a woman, I am failing as a feminist.I have passionate opinions about gender equality, but I worry that to freely accept the label of ""feminist,"" would not be fair to good feminists.I'm a feminist, but I'm a rather bad one. Oh, so I call myself a Bad Feminist. Or at least, I wrote an essay, and then I wrote a book called ""Bad Feminist,"" and then in interviews, people started calling me The Bad Feminist. (Laughter)So, what started as a bit of an inside joke with myself and a willful provocation, has become a thing.Let me"
2860,adjudicated,2,"As a kid, I used to dream about the ocean. It was this wild place full of color and life, home to these alien-looking, fantastical creatures. I pictured big sharks ruling the food chain and saw graceful sea turtles dancing across coral reefs.As a marine biologist turned photographer, I've spent most of my career looking for places as magical as those I used to dream about when I was little. As you can see, I began exploring bodies of water at a fairly young age. But the first time I truly went underwater, I was about 10 years old. And"
3087,adjudicated,2,"Imagine that when you walked in here this evening, you discovered that everybody in the room looked almost exactly the same: ageless, raceless, generically good-looking. That person sitting right next to you might have the most idiosyncratic inner life, but you don't have a clue because we're all wearing the same blank expression all the time. That is the kind of creepy transformation that is taking over cities, only it applies to buildings, not people.Cities are full of roughness and shadow, texture and color. You can still find architectural surfaces of great individuality and character in apartment buildings in Riga"
2613,adjudicated,1,"I have the feeling that we can all agree that we're moving towards a new model of the state and society. But, we're absolutely clueless as to what this is or what it should be. It seems like we need to have a conversation about democracyin our day and age. Let's think about it this way: We are 21st-century citizens, doing our very, very best to interact with 19th century-designed institutions that are based on an information technology of the 15th century. Let's have a look at some of the characteristics of this system. First of all, it's designed for"
1694,adjudicated,2,"Ten years ago, on a Tuesday morning, I conducted a parachute jump at Fort Bragg, North Carolina. It was a routine training jump, like many more I'd done since I became a paratrooper 27 years before. We went down to the airfield early because this is the Army and you always go early. You do some routine refresher training, and then you go to put on your parachute and a buddy helps you. And you put on the T-10 parachute. And you're very careful how you put the straps, particularly the leg straps because they go between your legs. And"
3059,adjudicated,1,"Twenty years ago, when I was a barrister and human rights lawyer in full-time legal practice in London, and the highest court in the land still convened, some would say by an accident of history, in this building here, I met a young man who had just quit his job in the British Foreign Office. When I asked him, ""Why did you leave,"" he told me this story.He had gone to his boss one morning and said, ""Let's do something about human rights abuses in China."" And his boss had replied, ""We can't do anything about human rights abuses in"
2826,adjudicated,1,"In 2008, Burhan Hassan, age 17, boarded a flight from Minneapolis to the Horn of Africa. And while Burhan was the youngest recruit, he was not alone. Al-Shabaab managed to recruit over two dozen young men in their late teens and early 20s with a heavy presence on social media platforms like Facebook. With the Internet and other technologies, they've changed our everyday lives, but they've also changed recruitment, radicalization and the front lines of conflict today.What about the links connecting Twitter, Google and protesters fighting for democracy? These numbers represent Google's public DNS servers, effectively the only digital border"
1306,adjudicated,1,"All buildings today have something in common. They're made using Victorian technologies. This involves blueprints, industrial manufacturing and construction using teams of workers. All of this effort results in an inert object. And that means that there is a one-way transfer of energy from our environment into our homes and cities. This is not sustainable. I believe that the only way that it is possible for us to construct genuinely sustainable homes and cities is by connecting them to nature, not insulating them from it.Now, in order to do this, we need the right kind of language. Living systems are"
818,adjudicated,2,"Cultural evolution is a dangerous child for any species to let loose on its planet. By the time you realize what's happening, the child is a toddler, up and causing havoc, and it's too late to put it back. We humans are Earth's Pandoran species. We're the ones who let the second replicator out of its box, and we can't push it back in. We're seeing the consequences all around us.Now that, I suggest, is the view that comes out of taking memetics seriously. And it gives us a new way of thinking about not only what's going on on"
2201,adjudicated,2,"So I grew up in Limpopo, on the border of Limpopo and Mpumalanga, a little town called Motetema. Water and electricity supply are as unpredictable as the weather, and growing up in these tough situations, at the age of 17, I was relaxing with a couple of friends of mine in winter, and we were sunbathing. The Limpopo sun gets really hot in winter. So as we were sunbathing, my best friend next to me says, ""Man, why doesn't somebody invent something that you can just put on your skin and then you don't have to bathe?"" And I sat,"
2840,adjudicated,1,"Welcome to Bayeku, a riverine community in Ikorodu, Lagos — a vivid representation of several riverine communities across Nigeria, communities whose waterways have been infested by an invasive aquatic weed; communities where economic livelihoods have been hampered: fishing, marine transportation and trading; communities where fish yields have diminished; communities where schoolchildren are unable to go to school for days, sometimes weeks, on end. Who would have thought that this plant with round leaves, inflated stems, and showy, lavender flowers would cause such havoc in these communities.The plant is known as water hyacinth and its botanical name, Eichhornia crassipes. Interestingly, in"
2978,adjudicated,2,"The great philosopher Aristotle said if something doesn't exist, there's no word for it, and if there's no word for something, that something doesn't exist. So when we talk about elections, we in established democracies, we know what we're talking about. We've got the words. We have the vocabulary. We know what a polling station is. We know what a ballot paper is. But what about countries where democracy doesn't exist, countries where there are no words to describe the concepts that underpin a democratic society?I work in the field of electoral assistance, so that's to say we assist emerging"
2807,adjudicated,1,"A few years ago, with my colleague, Emmanuelle Charpentier, I invented a new technology for editing genomes. It's called CRISPR-Cas9. The CRISPR technology allows scientists to make changes to the DNA in cells that could allow us to cure genetic disease.You might be interested to know that the CRISPR technology came about through a basic research project that was aimed at discovering how bacteria fight viral infections. Bacteria have to deal with viruses in their environment, and we can think about a viral infection like a ticking time bomb — a bacterium has only a few minutes to defuse the"
2479,adjudicated,1,"The 2011 Arab Spring captured the attention of the world. It also captured the attention of authoritarian governments in other countries, who were worried that revolution would spread. To respond, they ramped up surveillance of activists, journalists and dissidents who they feared would inspire revolution in their own countries. One prominent Bahraini activist, who was arrested and tortured by his government, has said that the interrogators showed him transcripts of his telephone calls and text messages.Of course, it's no secret that governments are able to intercept telephone calls and text messages. It's for that reason that many activists specifically avoid"
1553,adjudicated,1,"I got up this morning at 6:10 a.m. after going to sleep at 12:45 a.m. I was awakened once during the night. My heart rate was 61 beats per minute — my blood pressure, 127 over 74. I had zero minutes of exercise yesterday, so my maximum heart rate during exercise wasn't calculated. I had about 600 milligrams of caffeine, zero of alcohol. And my score on the Narcissism Personality Index, or the NPI-16, is a reassuring 0.31.We know that numbers are useful for us when we advertise, manage, govern, search. I'm going to talk about how they're useful when"
1070,adjudicated,2,"I am a writer. Writing books is my profession but it's more than that, of course. It is also my great lifelong love and fascination. And I don't expect that that's ever going to change. But, that said, something kind of peculiar has happened recently in my life and in my career, which has caused me to have to recalibrate my whole relationship with this work. And the peculiar thing is that I recently wrote this book, this memoir called ""Eat, Pray, Love"" which, decidedly unlike any of my previous books, went out in the world for some reason, and"
1520,adjudicated,2,"Today, I'm going to take you around the world in 18 minutes. My base of operations is in the U.S., but let's start at the other end of the map, in Kyoto, Japan, where I was living with a Japanese family while I was doing part of my dissertational research 15 years ago. I knew even then that I would encounter cultural differences and misunderstandings, but they popped up when I least expected it.On my first day, I went to a restaurant, and I ordered a cup of green tea with sugar. After a pause, the waiter said, ""One does"
2651,adjudicated,2,"It used to be that if you wanted to get a computer to do something new, you would have to program it. Now, programming, for those of you here that haven't done it yourself, requires laying out in excruciating detail every single step that you want the computer to do in order to achieve your goal. Now, if you want to do something that you don't know how to do yourself, then this is going to be a great challenge.So this was the challenge faced by this man, Arthur Samuel. In 1956, he wanted to get this computer to be"
1625,adjudicated,2,"So the Awesome story: It begins about 40 years ago, when my mom and my dad came to Canada. My mom left Nairobi, Kenya. My dad left a small village outside of Amritsar, India. And they got here in the late 1960s. They settled in a shady suburb about an hour east of Toronto, and they settled into a new life. They saw their first dentist, they ate their first hamburger, and they had their first kids. My sister and I grew up here, and we had quiet, happy childhoods. We had close family, good friends, a quiet street. We"
1129,adjudicated,2,"One thing I wanted to say about film making is — about this film — in thinking about some of the wonderful talks we've heard here, Michael Moschen, and some of the talks about music, this idea that there is a narrative line, and that music exists in time. A film also exists in time; it's an experience that you should go through emotionally. And in making this film I felt that so many of the documentaries I've seen were all about learning something, or knowledge, or driven by talking heads, and driven by ideas. And I wanted this film"
1564,adjudicated,1,"I learned about the Haiti earthquake by Skype. My wife sent me a message, ""Whoa, earthquake,"" and then disappeared for 25 minutes. It was 25 minutes of absolute terror that thousands of people across the U.S. felt. I was afraid of a tsunami; what I didn't realize was there was a greater terror in Haiti, and that was building collapse. We've all seen the photos of the collapsed buildings in Haiti. These are shots my wife took a couple days after the quake, while I was making my way through the D.R. into the country. This is the national palace"
3103,adjudicated,3,"I'd like to introduce you to my mom.(Laughter)I'm guessing that's not what you expected, and it's not what I expected either, and thank goodness I realized that an Asian man was not my mom before I hugged him, because that would have been so awkward.Recognizing people isn't one of my strengths due to a genetic visual impairment that has no correction or cure. As a result, I am legally blind, though I prefer ""partially sighted"" because it's more optimistic.(Laughter)And I'm entitled to the label ""disabled.""I hate the word disabled when it's used to describe people. It detonates a mindset of"
2374,adjudicated,1,"Do you think it's possible to control someone's attention? Even more than that, what about predicting human behavior? I think those are interesting ideas. For me, that would be the perfect superpower, actually kind of an evil way of approaching it. But for myself, in the past, I've spent the last 20 years studying human behavior from a rather unorthodox way: picking pockets. When we think of misdirection, we think of something as looking off to the side, when actually the things right in front of us are often the hardest to see, the things that you look at every"
1021,adjudicated,2,"I was listed on the online biography that said I was a design missionary. That's a bit lofty; I'm really more of something like a street walker. I spend a lot of time in urban areas looking for design, and studying design in the public sector. I take about 5,000 photographs a year, and I thought that I would edit from these, and try to come up with some images that might be appropriate and interesting to you. And I used three criteria: the first was, I thought I'd talk about real design within reach, design that's free, not design"
993,adjudicated,1,"I have a story, a story that I would like to share with you. And it's an African story. It is a story of hope, resilience and glamour.There was Hollywood. Then came Bollywood. Today we have Nollywood, the third-largest film industry in the world. In 2006 alone, almost 2,000 films were made in Nigeria. Now, try to imagine 40, 50 films wrapped, distributed, every week in the streets of Lagos, Nigeria and West Africa. Some estimates put the value of this industry at 250 million dollars. It has created thousands, if not tens of thousands of jobs. And it's expanding."
1415,adjudicated,1,"One day, Los Angeles Times columnist Steve Lopez was walking along the streets of downtown Los Angeles when he heard beautiful music. And the source was a man, an African-American man, charming, rugged, homeless, playing a violin that only had two strings.And I'm telling a story that many of you know, because Steve's columns became the basis for a book, which was turned into a movie, with Robert Downey Jr. acting as Steve Lopez, and Jamie Foxx as Nathaniel Anthony Ayers, the Juilliard-trained double bassist whose promising career was cut short by a tragic affliction with paranoid schizophrenia. Nathaniel dropped"
1752,adjudicated,1,"I want to share with you over the next 18 minutes a pretty incredible idea. Actually, it's a really big idea. But to get us started, I want to ask if everyone could just close your eyes for two seconds and try and think of a technology or a bit of science that you think has changed the world. Now I bet, in this audience, you're thinking of some really incredible technology, some stuff that I haven't even heard of, I'm absolutely sure. But I'm also sure, pretty sure, that absolutely nobody is thinking of this. This is a polio"
